AFNOR;SANDRE;DENOMINATION;CL1;CL2;CL3;CL4;CL5;CL6;CL7;Val.Ind.;Origine
ADBT;10790;Achnanthidium biasolettianum f, anormale                                                                                                  ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ADCA;10791;Achnanthidium caledonicum (Lange-Bertalot)Lange-Bertalot                                                                                  ;0;0;0;0,01662;0,1164;0,18437;0,68261;1,210183369;L-P
ADCC;35847;Achnanthidium costei Peres et Le Cohu                                                                                                     ;0,00019;0,00111;0,01334;0,06801;0,20781;0,38313;0,32641;0,906358419;T-Cor
ADCH;32701;Achnanthidium chlidanos (Hohn et Hellerman) Novelo Tavera et Ibarra                                                                       ;0;0;0,00919;0,01578;0,16575;0,41596;0,39332;0,997215738;T-Cor
ADCR;10794;Achnanthidium crassum (Hustedt) Potapova et Ponader                                                                                       ;0;0;0;0,00122;0,71935;0,27942;0;1,302067159;L-P
ADCT;7074;Achnanthidium catenatum (Bily et Marvan) Lange-Bertalot                                                                                   ;0;0;0,00321;0,03174;0,2943;0,39768;0,27307;0,939787032;L-P
ADDA;10367;Achnanthidium daonense (Lange-Bertalot) Lange-Bertalot Monnier et Ector                                                                   ;0;0;0,0015;0,00699;0,06144;0,17681;0,75326;1,309474159;T-Cor
ADEG;10370;Achnanthidium exiguum (Grunow) Czarnecki var, exiguum                                                                                     ;0;0,07126;0,30533;0,454;0,0901;0,07542;0,00388;0,936181859;L-P
ADEH;10371;Achnanthidium exiguum var, heterovalvum (Krasske) Czarnecki                                                                               ;0;0,07126;0,30533;0,454;0,0901;0,07542;0,00388;0,936181859;T-Cor
ADEL;6889;Achnanthes delicatula subsp, delicatula (Kützing)Grunow in Cleve et Grunow var, delicatula                                                ;0,00064;0,1203;0,3317;0,38469;0,15723;0,00545;0;0,898903576;T-Cor
ADEN;6890;Achnanthes delicatula subsp, engelbrechtii (Cholnoky) Lange-Bertalot                                                                      ;0;0;0,00747;0,85336;0,12602;0,0127;0,00045;1,450010025;T-Cor
ADET;6893;Achnanthes detha Hohn et Hellerman                                                                                                        ;0;0,00145;0,00207;0,06133;0,16114;0,58266;0,19135;1,071610824;T-Cor
ADEU;10372;Achnanthidium eutrophilum (Lange-Bertalot)Lange-Bertalot                                                                                  ;0,0002;0,0001;0,0462;0,31342;0,37222;0,26515;0,00272;0,920471584;L-P
ADEX;10796;Achnanthidium exile (Kützing) Heiberg                                                                                                     ;0;0;0,00424;0,11111;0,14575;0,31383;0,42508;0,926722594;T-Cor
ADFS;34771;Adlafia suchlandtii (Hustedt) Monnier et Ector                                                                                            ;0;0;0;0,00628;0,16546;0,397;0,43126;1,020963573;T-Cor
ADGI;6894;Achnanthes didyma f, gibbosa Carter et Bailey-Watts                                                                                       ;0;0;0;0,13334;0,55589;0,31076;0;1,095835884;T-Cor
ADGL;20342;Achnanthidium gracillimum (Meister)Lange-Bertalot                                                                                         ;0;0;0;0,01588;0,55939;0,42162;0,00311;1,182759238;T-Cor
ADHA;6891;Achnanthes delicatula subsp, hauckiana Lange-Bertalot et Ruppel                                                                           ;0,00241;0,01337;0,11235;0,68818;0,15735;0,02618;0,00015;1,207905611;T-Cor
ADHE;10585;Achnanthidium helveticum (Hustedt) Monnier Lange-Bertalot et Ector                                                                        ;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589;0,945001197;T-Cor
ADHK;43181;Achnanthidium hauckianum (Grunow) Czarnecki                                                                                               ;0,00241;0,01337;0,11235;0,68818;0,15735;0,02618;0,00015;1,207905611;T-Cor
ADJK;28247;Achnanthidium jackii Rabenhorst                                                                                                           ;0;0,00174;0,02262;0,06284;0,33161;0,55819;0,02301;1,100115154;T-Cor
ADKE;37352;Achnanthidium kenyae (Cholnoky) Cocquyt                                                                                                   ;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589;0,945001197;T-Cor
ADKP;32670;Achnanthidium kryophila (Boye-Petersen) Bukhtiyarova                                                                                      ;0;0;0;0;0,92662;0,07338;0;1,556106092;T-Cor
ADKR;10379;Achnanthidium kranzii (Lange-Bertalot) Round et Bukhtiyarova                                                                              ;0;0;0,00547;0,00623;0,01476;0,68234;0,29119;1,252782929;T-Cor
ADLA;7075;Achnanthidium latecephalum Kobayasi                                                                                                       ;0,00696;0,00225;0,07263;0,34774;0,3317;0,18893;0,0498;0,855473264;L-P
ADLB;10586;Achnanthidium lauenburgianum (Hustedt) Monnier Lange-Bertalot et Ector                                                                    ;0,00031;0,01061;0,01376;0,12895;0,45894;0,38646;0,00096;1,029803109;T-Cor
ADLI;8558;Aulacoseira distans var, lirata (Ehrenberg) Simonsen                                                                                      ;0;0,1355;0,20047;0,48039;0,17017;0,01348;0;0,936553055;T-Cor
ADLO;28163;Achnanthidium linearioides (Lange-Bertalot) Lange-Bertalot                                                                                ;0;0;0,00007;0,00051;0,02374;0,46101;0,51467;1,166784123;T-Cor
ADLP;32699;Achnanthidium lapidosum (Krasske) Kobayasi in Mayama et al,                                                                               ;0;0,00185;0,00213;0,02608;0,07829;0,36828;0,52337;1,086252088;T-Cor
ADLS;10589;Adlafia suchlandtii (Hustedt) Lange-Bertalot in Moser & al,                                                                               ;0;0;0;0,00628;0,16546;0,397;0,43126;1,020963573;L-P
ADLT;10590;Achnanthidium latecephalum f, anormale                                                                                                    ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ADMA;10591;Achnanthidium macrocephalum (Hustedt) Round et Bukhtiyarova                                                                               ;0,00578;0;0,18092;0,56364;0,24427;0,00539;0;1,077644667;L-P
ADMC;31603;Achnanthidium microcephalum Kützing                                                                                                       ;0,00019;0,00111;0,01334;0,06801;0,20781;0,38313;0,32641;0,906358419;T-Cor
ADMF;10381;Achnanthidium minutissimum var, affinis (Grunow) Bukhtiyarova                                                                             ;0;0,00003;0,00943;0,06283;0,2362;0,4588;0,23271;0,946809598;L-P
ADMI;7076;Achnanthidium minutissimum (Kützing) Czarnecki var, minutissimum                                                                          ;0,00019;0,00111;0,01334;0,06801;0,20781;0,38313;0,32641;0,906358419;L-P
ADMJ;37354;Achnanthidium minutissimum var, jackii (Rabenhorst) Lange-Bertalot                                                                        ;0;0,00174;0,02262;0,06284;0,33161;0,55819;0,02301;1,100115154;T-Cor
ADMM;32379;Adlafia minuscula var, muralis (Grunow) Lange-Bertalot                                                                                    ;0,00034;0,00335;0,66899;0,23848;0,0524;0,02828;0,00815;1,203386597;L-P
ADMS;10485;Adlafia minuscula (Grunow) Lange-Bertalot var, minuscula                                                                                  ;0,0012;0,00314;0,07854;0,33471;0,26988;0,18028;0,13225;0,784299722;L-P
ADMT;10486;Achnanthidium minutissimum f, anormale                                                                                                    ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ADMU;;Adlafia muralis (Grunow in Van Heurck 1880) Li et Qi comb, nov                                                                            ;0,00034;0,00335;0,66899;0,23848;0,0524;0,02828;0,00815;1,203386597;T-Cor
ADMX;44424;Achnanthidium maximum A, Cleve                                                                                                            ;0;0;0;0;0,00532;0,00632;0,98836;1,648378866;T-Cor
ADNM;10592;Achnanthidium neomicrocephalum Lange-Bertalot et Staab                                                                                    ;0,00019;0,00111;0,01334;0,06801;0,20781;0,38313;0,32641;0,906358419;T-Cor
ADPR;;Achnanthidium parallelum J,R,Carter ex Jüttner, D,M,Williams, Ector & C,E,Wetzel                                                          ;0;0,01931;0;0,02134;0,07793;0,75861;0,12281;1,304123336;T-Cor
ADPS;;Achnanthidium petersenii (Hustedt) C,E,Wetzel, Ector, D,M, Williams & Jüttner                                                              ;0;0,01931;0;0,02134;0,07793;0,75861;0,12281;1,304123336;T-Cor
ADPT;10596;Achnanthidium pyrenaicum f, anormale                                                                                                      ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ADPY;10597;Achnanthidium pyrenaicum (Hustedt) Kobayasi                                                                                               ;0;0;0,00417;0,01883;0,04608;0,05322;0,8777;1,478757859;L-P
ADRB;43182;Achnanthidium robustum (Hust,) Ohtsuka in Ohtsuka et al,                                                                                  ;0;0,00174;0,02262;0,06284;0,33161;0,55819;0,02301;1,100115154;T-Cor
ADRI;10598;Achnanthidium rivulare Potapova et Ponader                                                                                                ;0;0,00112;0;0;0,00032;0,94165;0,05691;1,577910674;L-P
ADRK;10350;Achnanthidium rosenstockii (Lange-Bertalot) Lange-Bertalot in Krammer et Lange-Bertalot var, rosenstockii                                 ;0;0;0;0,13334;0,55589;0,31076;0;1,095835884;T-Cor
ADRT;10353;Achnanthidium rivulare f, anormale                                                                                                        ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ADSA;10354;Achnanthidium saprophilum (Kobayasi et Mayama) Round et Bukhtiyarova                                                                      ;0,00255;0,03588;0,14116;0,38414;0,30964;0,11863;0,008;0,864040564;L-P
ADSB;7078;Achnanthidium straubianum (Lange-Bertalot)Lange-Bertalot                                                                                  ;0,0001;0,00013;0,00184;0,02523;0,38761;0,56796;0,01712;1,161515143;L-P
ADSG;10355;Achnanthidium saprophilum f, anormale                                                                                                     ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ADSH;10849;Achnanthidium subhudsonis (Hustedt) H, Kobayasi                                                                                           ;0;0,00004;0,00213;0,07138;0,11462;0,36324;0,44859;0,990758205;T-Cor
ADSO;10852;Achnanthidium subatomoides (Hustedt) Monnier, Lange-Bertalot et Ector                                                                     ;0;0,00145;0,00207;0,06133;0,16114;0,58266;0,19135;1,071610824;T-Cor
ADSU;10854;Achnanthidium subatomus (Hustedt) Lange-Bertalot var, subatomus                                                                           ;0,00002;0,00023;0,00208;0,02422;0,08212;0,37888;0,51245;1,082277769;L-P
ADSZ;;Achnanthidium strenzkei (Hustedt) Reichardt nov, comb,                                                                                    ;0;0;0;0,00443;0,01428;0,00595;0,97534;1,628215877;T-Cor
ADTA;31415;Achnanthidium taiaense (Carter et Denny) Taylor Morales et Ector                                                                          ;0;0;0;0;0,00003;0,01214;0,98783;1,647618701;T-Cor
ADTG;10357;Achnanthidium subatomus (Hustedt) Lange-Bertalot f, anormale                                                                              ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
ADXI;38171;Achnanthidium exile (Kützing) Bukhtiyarova                                                                                                ;0;0;0,00424;0,11111;0,14575;0,31383;0,42508;0,926722594;T-Cor
ADXL;34791;Achnanthidium exile (Kützing) Round et Bukhtiyarova                                                                                       ;0;0;0,00424;0,11111;0,14575;0,31383;0,42508;0,926722594;T-Cor
AEAB;10856;Achnanthidium exiguum f, anormale                                                                                                         ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
AEAZ;32376;Anomoeoneis exilis var, azorica Manguin                                                                                                   ;0;0;0;0;0;0,0013;0,9987;1,664442306;T-Cor
AECO;6901;Achnanthes exigua Grunow var, constricta (Torka) Hustedt                                                                                  ;0;0,07126;0,30533;0,454;0,0901;0,07542;0,00388;0,936181859;T-Cor
AEEL;10857;Achnanthes exigua var, elliptica Hustedt                                                                                              ;0;0;0,05512;0,69478;0,12165;0,12846;0;1,214053184;L-P
AEHE;6902;Achnanthes exigua Grunow var, heterovalvata Krasske                                                                                       ;0;0,07126;0,30533;0,454;0,0901;0,07542;0,00388;0,936181859;T-Cor
AELA;7132;Anomoeoneis exilis var, lanceolata Mayer                                                                                                  ;0;0;0;0;0;0,0013;0,9987;1,664442306;T-Cor
AELG;32368;Achnanthes elegans Kobayasi                                                                                                               ;0;0;0,03046;0;0,22411;0,74543;0;1,314057317;T-Cor
AELI;6895;Achnanthes elliptica (Cleve) Cleve Euler                                                                                                  ;0,03408;0,11888;0,3079;0,41953;0,08311;0,03647;0,00003;0,893571568;T-Cor
AENG;6897;Achnanthes engelbrechtii Cholnoky                                                                                                         ;0;0;0,00747;0,85336;0,12602;0,0127;0,00045;1,450010025;T-Cor
AETG;10808;Achnanthidium eutrophilum f, anormale                                                                                                     ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
AEUT;32375;Achnanthes eutrophila Lange-Bertalot                                                                                                      ;0,0002;0,0001;0,0462;0,31342;0,37222;0,26515;0,00272;0,920471584;T-Cor
AEXG;6898;Achnanthes exigua Grunow in Cleve et Grunow var, exigua                                                                                   ;0;0,07126;0,30533;0,454;0,0901;0,07542;0,00388;0,936181859;T-Cor
AEXI;6904;Achnanthes exilis Kützing                                                                                                                 ;0;0;0,00424;0,11111;0,14575;0,31383;0,42508;0,926722594;L-P
AEXM;10866;Amphora eximia J,R, Carter                                                                                                                ;0;0,02295;0,00881;0,58325;0,36959;0,01541;0;1,166334226;T-Cor
AFGR;6602;Asterionella formosa var, gracillima (Hantzsch) Grunow                                                                                    ;0,00369;0,03038;0,09297;0,36319;0,34008;0,16012;0,00956;0,871946067;T-Cor
AFIB;31863;Asterionella fibula (Brébisson) Hustedt                                                                                                   ;0;0;0,00008;0;0,00196;0,0256;0,97237;1,62390306;T-Cor
AFLE;6905;Achnanthes flexella (Kützing)Brun var, flexella                                                                                           ;0;0;0;0;0,00532;0,00632;0,98836;1,648378866;T-Cor
AFOG;32380;Achnanthes fogedii Håkansson                                                                                                              ;0;0,16162;0,63669;0,20169;0;0;0;1,159534368;T-Cor
AFOR;4860;Asterionella formosa Hassall var, formosa                                                                                                 ;0,00369;0,03038;0,09297;0,36319;0,34008;0,16012;0,00956;0,871946067;L-P
AFRE;30931;Achnanthes frequentissima Lange-Bertalot (Manuskriptnamen) var, frequentissima                                                            ;0,00674;0,04245;0,1869;0,34437;0,30939;0,10397;0,00619;0,830015289;T-Cor
AFRO;6952;Achnanthes lanceolata var, rostrata (Østrup) Hustedt                                                                                      ;0,00017;0,00149;0,02649;0,26516;0,48219;0,22342;0,00108;0,993945455;T-Cor
AFSL;;Asterionella formosa Hassal sensu lato in Villac & al,                                                                                    ;0,00369;0,03038;0,09297;0,36319;0,34008;0,16012;0,00956;0,871946067;T-Cor
AFTC;6907;Achnanthes fonticola Hustedt                                                                                                              ;0,00241;0,01337;0,11235;0,68818;0,15735;0,02618;0,00015;1,207905611;T-Cor
AFUG;10878;Achnanthes fugei Carter                                                                                                                   ;0;0;0,00537;0,68595;0,29027;0,0184;0;1,257827484;L-P
AGCU;8560;Aulacoseira granulata f, curvata (Hustedt) Simonsen                                                                                       ;0;0,07581;0,59563;0,16545;0,16311;0;0;1,083673472;L-P
AGES;6909;Achnanthes gessneri Hustedt                                                                                                               ;0,00065;0;0,0045;0,07336;0,73395;0,18654;0,00101;1,284057198;T-Cor
AGMU;31722;Aulacoseira granulata var, muzzanensis (Bethge) Simonsen                                                                                  ;0;0,00281;0,09064;0,51689;0,35903;0,02829;0,00233;1,070589277;T-Cor
AGRA;6603;Asterionella gracillima (Hantzsch,) Heiberg                                                                                               ;0,00369;0,03038;0,09297;0,36319;0,34008;0,16012;0,00956;0,871946067;T-Cor
AGRM;6912;Achnanthes gracillima (Meister) Mills                                                                                                     ;0;0;0;0,01588;0,55939;0,42162;0,00311;1,182759238;T-Cor
AGRN;6913;Achnanthes grana Hohn et Hellerman                                                                                                        ;0;0;0,01642;0,1248;0,32972;0,43083;0,09823;0,938891784;T-Cor
AGRS;6918;Achnanthes grischuna Wuthrich var, grischuna                                                                                              ;0;0;0,0192;0,03461;0,46133;0,48485;0;1,13054207;T-Cor
